,p,q,MSE,MAE
0,1.0,1.0,2.6665530535011193e-05,0.00469079633480648
1,1.0,2.0,2.603370175959552e-05,0.004594707503959716
2,1.0,3.0,2.6357018692695292e-05,0.004455318348629467
3,1.0,4.0,2.635711278898378e-05,0.004455348353617315
4,1.0,5.0,2.668579789728434e-05,0.004458111763299299
5,1.0,6.0,2.668562750647879e-05,0.004458097695110715
6,1.0,7.0,2.668494727354777e-05,0.004458048917651983
7,2.0,1.0,2.6666404176951837e-05,0.004690849654577589
8,2.0,2.0,2.6636847304621712e-05,0.0046565369747535446
9,2.0,3.0,2.5876992062287535e-05,0.004438015399646772
10,2.0,4.0,2.5877201708964727e-05,0.004438015396277394
11,2.0,5.0,2.629992859425541e-05,0.00443588602386999
12,2.0,6.0,2.6299691106539516e-05,0.00443584423243032
13,2.0,7.0,2.629966100954276e-05,0.004435842383685624
14,3.0,1.0,2.6666150111263574e-05,0.0046908441956833346
15,3.0,2.0,2.620267834159886e-05,0.004620872469140972
16,3.0,3.0,2.5876845607934922e-05,0.004437988503793475
17,3.0,4.0,2.6102713463409613e-05,0.004463770286588153
18,3.0,5.0,2.6399921942246347e-05,0.004445074093631997
19,3.0,6.0,2.639937141547766e-05,0.00444502631114659
20,3.0,7.0,2.7309112226168963e-05,0.004545473769400114
21,4.0,1.0,2.684449151214881e-05,0.004722766049483474
22,4.0,2.0,2.633674068809474e-05,0.004644428257586711
23,4.0,3.0,2.5976655192801435e-05,0.004468450070825961
24,4.0,4.0,2.6210183909310332e-05,0.004496019264721607
25,4.0,5.0,2.6525963278005092e-05,0.00447524754750653
26,4.0,6.0,2.6526211487520127e-05,0.004475283544338205
27,4.0,7.0,2.6664641253668168e-05,0.004484607846620931
28,5.0,1.0,2.6844308410015963e-05,0.004722717019548569
29,5.0,2.0,2.6336926605102505e-05,0.0046444472659122465
30,5.0,3.0,2.5972763900459268e-05,0.00446932101222005
31,5.0,4.0,2.6225889435955694e-05,0.0045023837700573196
32,5.0,5.0,2.6454044990648188e-05,0.0044773938656802285
33,5.0,6.0,2.6453794529267525e-05,0.004477281957130195
34,5.0,7.0,2.674518074368223e-05,0.004496537154483679
